Year,Bundesland,Rechnungsbeträge,Refundierungen
2020,Gesamt,162232817.04,61625374.95
2021,Gesamt,178300357.69,67067092.42
2022,Gesamt,194847914.66,72838442.24
2023,Gesamt,211136775.37,79235735.30
