"ÖGK-LS","Monat.Jahr","Postal","OnlineMeine","OnlineWAH"
"ÖGK-B","Jän.23","","",""
"ÖGK-B","Feb.23","","",""
"ÖGK-B","Mär.23","","",""
"ÖGK-B","Apr.23","","",""
"ÖGK-B","Mai.23","97.0","77.0","77.0"
"ÖGK-B","Jun.23","67.0","29.0","27.0"
"ÖGK-B","Jul.23","85.0","43.0","24.0"
"ÖGK-B","Aug.23","77.0","34.0","27.0"
"ÖGK-B","Sep.23","28.0","38.0","24.0"
"ÖGK-B","Okt.23","28.0","2.0","14.0"
"ÖGK-B","Nov.23","20.0","20.0","20.0"
"ÖGK-B","Dez.23","20.0","20.0","22.0"
"ÖGK-B","Durchschnitt","53.0","33.0","29.0"
"ÖGK-K","Jän.23","","",""
"ÖGK-K","Feb.23","","",""
"ÖGK-K","Mär.23","","",""
"ÖGK-K","Apr.23","","",""
"ÖGK-K","Mai.23","92.0","97.0","42.0"
"ÖGK-K","Jun.23","84.0","83.0","27.0"
"ÖGK-K","Jul.23","63.0","78.0","35.0"
"ÖGK-K","Aug.23","58.0","68.0","34.0"
"ÖGK-K","Sep.23","60.0","63.0","18.0"
"ÖGK-K","Okt.23","47.0","46.0","13.0"
"ÖGK-K","Nov.23","20.0","20.0","13.0"
"ÖGK-K","Dez.23","12.0","12.0","13.0"
"ÖGK-K","Durchschnitt","55.0","58.0","24.0"
"ÖGK-N","Jän.23","","",""
"ÖGK-N","Feb.23","","",""
"ÖGK-N","Mär.23","","",""
"ÖGK-N","Apr.23","","",""
"ÖGK-N","Mai.23","27.0","22.0","0.0"
"ÖGK-N","Jun.23","20.0","14.0","0.0"
"ÖGK-N","Jul.23","33.0","17.0","0.0"
"ÖGK-N","Aug.23","57.0","29.0","0.0"
"ÖGK-N","Sep.23","75.0","28.0","0.0"
"ÖGK-N","Okt.23","103.0","58.0","0.0"
"ÖGK-N","Nov.23","117.0","88.0","0.0"
"ÖGK-N","Dez.23","110.0","110.0","0.0"
"ÖGK-N","Durchschnitt","68.0","46.0","0.0"
"ÖGK-O","Jän.23","","",""
"ÖGK-O","Feb.23","","",""
"ÖGK-O","Mär.23","","",""
"ÖGK-O","Apr.23","","",""
"ÖGK-O","Mai.23","37.0","0.0","0.0"
"ÖGK-O","Jun.23","32.0","5.0","0.0"
"ÖGK-O","Jul.23","38.0","6.0","6.0"
"ÖGK-O","Aug.23","31.0","12.0","14.0"
"ÖGK-O","Sep.23","27.0","27.0","4.0"
"ÖGK-O","Okt.23","31.0","31.0","14.0"
"ÖGK-O","Nov.23","40.0","40.0","9.0"
"ÖGK-O","Dez.23","49.0","49.0","14.0"
"ÖGK-O","Durchschnitt","36.0","21.0","8.0"
"ÖGK-S","Jän.23","","",""
"ÖGK-S","Feb.23","","",""
"ÖGK-S","Mär.23","","",""
"ÖGK-S","Apr.23","","",""
"ÖGK-S","Mai.23","32.0","32.0","0.0"
"ÖGK-S","Jun.23","35.0","35.0","0.0"
"ÖGK-S","Jul.23","35.0","34.0","0.0"
"ÖGK-S","Aug.23","47.0","47.0","0.0"
"ÖGK-S","Sep.23","40.0","38.0","0.0"
