"ÖGK-LS","Monat.Jahr","Postal","OnlineMeine"
"ÖGK-S","Feb.23","25","25"
"ÖGK-S","Mär.23","23","21"
"ÖGK-S","Apr.23","21","24"
"ÖGK-S","Mai.23","27","34"
"ÖGK-S","Durchschnitt 23","25","26"
"ÖGK-ST","Jän.22","48","38"
"ÖGK-ST","Feb.22","50","38"
"ÖGK-ST","Mär.22","47","47"
"ÖGK-ST","Apr.22","51","51"
"ÖGK-ST","Mai.22","58","58"
"ÖGK-ST","Jun.22","64","64"
"ÖGK-ST","Jul.22","72","72"
"ÖGK-ST","Aug.22","85","85"
"ÖGK-ST","Sep.22","85","85"
"ÖGK-ST","Okt.22","85","85"
"ÖGK-ST","Nov.22","73","73"
"ÖGK-ST","Dez.22","71","69"
"ÖGK-ST","Durchschnitt 22","66","64"
"ÖGK-ST","Jän.21","17","10"
"ÖGK-ST","Feb.21","16","11"
"ÖGK-ST","Mär.21","20","20"
"ÖGK-ST","Apr.21","24","24"
"ÖGK-ST","Mai.21","26","21"
"ÖGK-ST","Jun.21","32","24"
"ÖGK-ST","Jul.21","43","36"
"ÖGK-ST","Aug.21","43","39"
"ÖGK-ST","Sep.21","43","35"
"ÖGK-ST","Okt.21","45","33"
"ÖGK-ST","Nov.21","44","36"
"ÖGK-ST","Dez.21","50","39"
"ÖGK-ST","Durchschnitt 21","34","27"
"ÖGK-ST","Jän.23","71","71"
"ÖGK-ST","Feb.23","80","80"
"ÖGK-ST","Mär.23","86","85"
"ÖGK-ST","Apr.23","87","87"
"ÖGK-ST","Mai.23","95","95"
"ÖGK-ST","Durchschnitt 23","84","84"
"ÖGK-T","Jän.22","23","1"
"ÖGK-T","Feb.22","18","1"
"ÖGK-T","Mär.22","20","1"
"ÖGK-T","Apr.22","19","1"
"ÖGK-T","Mai.22","35","1"
"ÖGK-T","Jun.22","40","1"
"ÖGK-T","Jul.22","48","1"
"ÖGK-T","Aug.22","52","8"
"ÖGK-T","Sep.22","50","8"
"ÖGK-T","Okt.22","52","8"
"ÖGK-T","Nov.22","50","8"
"ÖGK-T","Dez.22","62","8"
"ÖGK-T","Durchschnitt 22","39","4"
"ÖGK-T","Jän.21","3","1"
"ÖGK-T","Feb.21","3","1"
"ÖGK-T","Mär.21","5","1"
"ÖGK-T","Apr.21","4","1"
"ÖGK-T","Mai.21","6","1"
"ÖGK-T","Jun.21","7","1"
"ÖGK-T","Jul.21","11","1"
"ÖGK-T","Aug.21","15","1"
"ÖGK-T","Sep.21","10","1"
"ÖGK-T","Okt.21","7","1"
"ÖGK-T","Nov.21","10","1"
