Date,Bundesland,Refundierung
2022-10,Steiermark,432113.93
2022-10,Tirol,88119.48
2022-10,Vorarlberg,51866.32
2022-10,Wien,36075.17
2022-11,Burgenland,6108.51
2022-11,Kärnten,30563.5
2022-11,Niederösterreich,45443.94
2022-11,Oberösterreich,90067.87
2022-11,Salzburg,26141.63
2022-11,Steiermark,463959.12
2022-11,Tirol,102890.24
2022-11,Vorarlberg,64168.79
2022-11,Wien,47399.09
2022-12,Burgenland,9288.61
2022-12,Kärnten,37802.32
2022-12,Niederösterreich,32013.19
2022-12,Oberösterreich,77139.13
2022-12,Salzburg,56083.82
2022-12,Steiermark,177656.21
2022-12,Tirol,110003.61
2022-12,Vorarlberg,51683.48
2022-12,Wien,43296.23
2023-01,Burgenland,20752.62
2023-01,Kärnten,38344.35
2023-01,Niederösterreich,36491.37
2023-01,Oberösterreich,80345.53
2023-01,Salzburg,17123.53
2023-01,Steiermark,346396.32
2023-01,Tirol,95623.95
2023-01,Vorarlberg,71041.33
2023-01,Wien,41566.86
2023-02,Burgenland,4201.2
2023-02,Kärnten,13944.04
2023-02,Niederösterreich,31393.55
2023-02,Oberösterreich,83985.85
2023-02,Salzburg,81817.96
2023-02,Steiermark,349614.26
2023-02,Tirol,43580.69
2023-02,Vorarlberg,49045.5
2023-02,Wien,29051.76
2023-03,Burgenland,5063.84
2023-03,Kärnten,52936.93
2023-03,Niederösterreich,32992.47
2023-03,Oberösterreich,77361.82
2023-03,Salzburg,32593.53
2023-03,Steiermark,265595.81
2023-03,Tirol,84177.96
2023-03,Vorarlberg,60491.99
2023-03,Wien,42623.1
2023-04,Burgenland,4281.19
2023-04,Kärnten,23512.0
2023-04,Niederösterreich,52066.94
2023-04,Oberösterreich,67309.53
2023-04,Salzburg,30278.01
2023-04,Steiermark,164379.42
2023-04,Tirol,68607.91
2023-04,Vorarlberg,48159.04
2023-04,Wien,45075.63
2023-05,Burgenland,1956.91
2023-05,Kärnten,24025.54
2023-05,Niederösterreich,59251.26
2023-05,Oberösterreich,122930.24
2023-05,Salzburg,23799.41
2023-05,Steiermark,110692.92
2023-05,Tirol,79793.29
2023-05,Vorarlberg,66500.02
2023-05,Wien,58771.57
2023-06,Burgenland,13704.68
2023-06,Kärnten,21349.92
2023-06,Niederösterreich,49107.16
2023-06,Oberösterreich,92195.93
2023-06,Salzburg,37399.12
2023-06,Steiermark,161652.3
2023-06,Tirol,64833.66
2023-06,Vorarlberg,65723.13
2023-06,Wien,28927.92
2023-07,Burgenland,6261.8
2023-07,Kärnten,8075.29
2023-07,Niederösterreich,49029.56
2023-07,Oberösterreich,68220.02
2023-07,Salzburg,21114.17
2023-07,Steiermark,102941.67
2023-07,Tirol,63334.38
2023-07,Vorarlberg,65283.11
2023-07,Wien,36515.99
2023-08,Burgenland,3927.03
2023-08,Kärnten,26933.85
2023-08,Niederösterreich,43977.49
2023-08,Oberösterreich,57231.48
2023-08,Salzburg,29852.86
2023-08,Steiermark,145904.41
2023-08,Tirol,58939.75
2023-08,Vorarlberg,47813.9
2023-08,Wien,31640.98
2023-09,Burgenland,5202.0
2023-09,Kärnten,13110.21
2023-09,Niederösterreich,43228.38
2023-09,Oberösterreich,65309.69
2023-09,Salzburg,41553.26
2023-09,Steiermark,81536.91
2023-09,Tirol,58610.99
2023-09,Vorarlberg,65611.43
2023-09,Wien,42594.3
2023-10,Burgenland,19128.39
2023-10,Kärnten,31737.83
2023-10,Niederösterreich,50815.88
2023-10,Oberösterreich,82146.62
2023-10,Salzburg,88048.59
2023-10,Steiermark,143839.5
2023-10,Tirol,62666.6
2023-10,Vorarlberg,63371.24
2023-10,Wien,38431.08
2023-11,Burgenland,2929.85
2023-11,Kärnten,18307.23
2023-11,Niederösterreich,65209.46
2023-11,Oberösterreich,97479.63
2023-11,Salzburg,34175.15
2023-11,Steiermark,91472.56
2023-11,Tirol,46048.19
2023-11,Vorarlberg,52447.39
2023-11,Wien,54937.08
2023-12,Burgenland,12282.38
2023-12,Kärnten,15234.27
2023-12,Niederösterreich,45918.04
2023-12,Oberösterreich,59244.27
2023-12,Salzburg,39046.09
2023-12,Steiermark,80852.02
2023-12,Tirol,50053.65
2023-12,Vorarlberg,52062.98
2023-12,Wien,33648.95
