Date,Bundesland,Refundierung
2022-12,Burgenland,18.0
2022-12,Kärnten,163.0
2022-12,Niederösterreich,188.0
2022-12,Oberösterreich,399.0
2022-12,Salzburg,123.0
2022-12,Steiermark,326.0
2022-12,Tirol,373.0
2022-12,Vorarlberg,567.0
2022-12,Wien,176.0
2023-01,Burgenland,45.0
2023-01,Kärnten,172.0
2023-01,Niederösterreich,201.0
2023-01,Oberösterreich,487.0
2023-01,Salzburg,60.0
2023-01,Steiermark,663.0
2023-01,Tirol,331.0
2023-01,Vorarlberg,835.0
2023-01,Wien,164.0
2023-02,Burgenland,12.0
2023-02,Kärnten,96.0
2023-02,Niederösterreich,202.0
2023-02,Oberösterreich,368.0
2023-02,Salzburg,211.0
2023-02,Steiermark,690.0
2023-02,Tirol,253.0
2023-02,Vorarlberg,634.0
2023-02,Wien,166.0
2023-03,Burgenland,15.0
2023-03,Kärnten,159.0
2023-03,Niederösterreich,181.0
2023-03,Oberösterreich,449.0
2023-03,Salzburg,122.0
2023-03,Steiermark,630.0
2023-03,Tirol,434.0
2023-03,Vorarlberg,676.0
2023-03,Wien,200.0
2023-04,Burgenland,10.0
2023-04,Kärnten,96.0
2023-04,Niederösterreich,252.0
2023-04,Oberösterreich,406.0
2023-04,Salzburg,120.0
2023-04,Steiermark,379.0
2023-04,Tirol,326.0
2023-04,Vorarlberg,555.0
2023-04,Wien,158.0
2023-05,Burgenland,8.0
2023-05,Kärnten,132.0
2023-05,Niederösterreich,214.0
2023-05,Oberösterreich,491.0
2023-05,Salzburg,74.0
2023-05,Steiermark,279.0
2023-05,Tirol,351.0
2023-05,Vorarlberg,762.0
2023-05,Wien,180.0
2023-06,Burgenland,32.0
2023-06,Kärnten,98.0
2023-06,Niederösterreich,212.0
2023-06,Oberösterreich,377.0
2023-06,Salzburg,153.0
2023-06,Steiermark,394.0
2023-06,Tirol,302.0
2023-06,Vorarlberg,785.0
2023-06,Wien,169.0
2023-07,Burgenland,23.0
2023-07,Kärnten,39.0
2023-07,Niederösterreich,199.0
2023-07,Oberösterreich,323.0
2023-07,Salzburg,73.0
2023-07,Steiermark,279.0
2023-07,Tirol,318.0
2023-07,Vorarlberg,763.0
2023-07,Wien,182.0
2023-08,Burgenland,20.0
2023-08,Kärnten,140.0
2023-08,Niederösterreich,200.0
2023-08,Oberösterreich,294.0
2023-08,Salzburg,133.0
2023-08,Steiermark,380.0
2023-08,Tirol,287.0
2023-08,Vorarlberg,510.0
2023-08,Wien,152.0
2023-09,Burgenland,22.0
2023-09,Kärnten,83.0
2023-09,Niederösterreich,167.0
2023-09,Oberösterreich,402.0
2023-09,Salzburg,104.0
2023-09,Steiermark,174.0
2023-09,Tirol,290.0
2023-09,Vorarlberg,686.0
2023-09,Wien,165.0
2023-10,Burgenland,48.0
2023-10,Kärnten,148.0
2023-10,Niederösterreich,246.0
2023-10,Oberösterreich,394.0
2023-10,Salzburg,55.0
2023-10,Steiermark,372.0
2023-10,Tirol,330.0
2023-10,Vorarlberg,667.0
2023-10,Wien,165.0
2023-11,Burgenland,12.0
2023-11,Kärnten,108.0
2023-11,Niederösterreich,276.0
2023-11,Oberösterreich,381.0
2023-11,Salzburg,87.0
2023-11,Steiermark,257.0
2023-11,Tirol,319.0
2023-11,Vorarlberg,561.0
2023-11,Wien,191.0
2023-12,Burgenland,31.0
2023-12,Kärnten,99.0
2023-12,Niederösterreich,225.0
2023-12,Oberösterreich,275.0
2023-12,Salzburg,131.0
2023-12,Steiermark,206.0
2023-12,Tirol,306.0
2023-12,Vorarlberg,617.0
2023-12,Wien,119.0
